id,storename,codshopify,departamento,provincia,distrito,ubigeo,rango1_min,rango1_max,rango1_costo,rango1_costo2,rango1_costo3,rango2_min,rango2_max,rango2_costo,rango2_costo2,rango2_costo3,rango3_min,rango3_max,rango3_costo,rango3_costo2,rango3_costo3,rango4_min,rango4_max,rango4_costo,rango4_costo2,rango4_costo3,texto,texto_description,texto2,texto2_description,texto3,texto3_description,texto_collect,texto_collect_description
11,mi-tienda,MITI-010111,Amazonas,Chachapoyas,Levanto,010111,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
12,mi-tienda,MITI-010112,Amazonas,Chachapoyas,Magdalena,010112,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
13,mi-tienda,MITI-010113,Amazonas,Chachapoyas,Mariscal Castilla,010113,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
14,mi-tienda,MITI-010114,Amazonas,Chachapoyas,Molinopampa,010114,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
15,mi-tienda,MITI-010115,Amazonas,Chachapoyas,Montevideo,010115,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
16,mi-tienda,MITI-010116,Amazonas,Chachapoyas,Olleros,010116,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
17,mi-tienda,MITI-010117,Amazonas,Chachapoyas,Quinjalca,010117,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
18,mi-tienda,MITI-010118,Amazonas,Chachapoyas,San Francisco de Daguas,010118,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
19,mi-tienda,MITI-010119,Amazonas,Chachapoyas,San Isidro de Maino,010119,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
20,mi-tienda,MITI-010120,Amazonas,Chachapoyas,Soloco,010120,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
21,mi-tienda,MITI-010121,Amazonas,Chachapoyas,Sonche,010121,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
22,mi-tienda,MITI-010201,Amazonas,Bagua,Bagua,010201,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
23,mi-tienda,MITI-010202,Amazonas,Bagua,Aramango,010202,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
24,mi-tienda,MITI-010203,Amazonas,Bagua,Copallin,010203,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
25,mi-tienda,MITI-010204,Amazonas,Bagua,El Parco,010204,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
26,mi-tienda,MITI-010205,Amazonas,Bagua,Imaza,010205,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
27,mi-tienda,MITI-010206,Amazonas,Bagua,La Peca,010206,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
28,mi-tienda,MITI-010301,Amazonas,Bongará,Jumbilla,010301,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
29,mi-tienda,MITI-010302,Amazonas,Bongará,Chisquilla,010302,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
30,mi-tienda,MITI-010303,Amazonas,Bongará,Churuja,010303,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
31,mi-tienda,MITI-010304,Amazonas,Bongará,Corosha,010304,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
32,mi-tienda,MITI-010305,Amazonas,Bongará,Cuispes,010305,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
33,mi-tienda,MITI-010306,Amazonas,Bongará,Florida,010306,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
34,mi-tienda,MITI-010307,Amazonas,Bongará,Jazan,010307,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
35,mi-tienda,MITI-010308,Amazonas,Bongará,Recta,010308,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
36,mi-tienda,MITI-010309,Amazonas,Bongará,San Carlos,010309,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
37,mi-tienda,MITI-010310,Amazonas,Bongará,Shipasbamba,010310,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
38,mi-tienda,MITI-010311,Amazonas,Bongará,Valera,010311,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
39,mi-tienda,MITI-010312,Amazonas,Bongará,Yambrasbamba,010312,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
40,mi-tienda,MITI-010401,Amazonas,Condorcanqui,Nieva,010401,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
41,mi-tienda,MITI-010402,Amazonas,Condorcanqui,El Cenepa,010402,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
42,mi-tienda,MITI-010403,Amazonas,Condorcanqui,Rio Santiago,010403,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
43,mi-tienda,MITI-010501,Amazonas,Luya,Lamud,010501,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
44,mi-tienda,MITI-010502,Amazonas,Luya,Camporredondo,010502,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
45,mi-tienda,MITI-010503,Amazonas,Luya,Cocabamba,010503,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
46,mi-tienda,MITI-010504,Amazonas,Luya,Colcamar,010504,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
47,mi-tienda,MITI-010505,Amazonas,Luya,Conila,010505,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
48,mi-tienda,MITI-010506,Amazonas,Luya,Inguilpata,010506,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
49,mi-tienda,MITI-010507,Amazonas,Luya,Longuita,010507,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
50,mi-tienda,MITI-010508,Amazonas,Luya,Lonya Chico,010508,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
51,mi-tienda,MITI-010509,Amazonas,Luya,Luya,010509,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
52,mi-tienda,MITI-010510,Amazonas,Luya,Luya Viejo,010510,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
53,mi-tienda,MITI-010511,Amazonas,Luya,Maria,010511,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
54,mi-tienda,MITI-010512,Amazonas,Luya,Ocalli,010512,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
55,mi-tienda,MITI-010513,Amazonas,Luya,Ocumal,010513,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
56,mi-tienda,MITI-010514,Amazonas,Luya,Pisuquia,010514,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
57,mi-tienda,MITI-010515,Amazonas,Luya,Providencia,010515,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
58,mi-tienda,MITI-010516,Amazonas,Luya,San Cristóbal,010516,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
59,mi-tienda,MITI-010517,Amazonas,Luya,San Francisco del Yeso,010517,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
60,mi-tienda,MITI-010518,Amazonas,Luya,San Jerónimo,010518,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
61,mi-tienda,MITI-010519,Amazonas,Luya,San Juan de Lopecancha,010519,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
62,mi-tienda,MITI-010520,Amazonas,Luya,Santa Catalina,010520,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
63,mi-tienda,MITI-010521,Amazonas,Luya,Santo Tomas,010521,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
64,mi-tienda,MITI-010522,Amazonas,Luya,Tingo,010522,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
65,mi-tienda,MITI-010523,Amazonas,Luya,Trita,010523,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
66,mi-tienda,MITI-010601,Amazonas,Rodríguez de Mendoza,San Nicolas,010601,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
67,mi-tienda,MITI-010602,Amazonas,Rodríguez de Mendoza,Chirimoto,010602,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
68,mi-tienda,MITI-010603,Amazonas,Rodríguez de Mendoza,Cochamal,010603,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
69,mi-tienda,MITI-010604,Amazonas,Rodríguez de Mendoza,Huambo,010604,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
70,mi-tienda,MITI-010605,Amazonas,Rodríguez de Mendoza,Limabamba,010605,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
71,mi-tienda,MITI-010606,Amazonas,Rodríguez de Mendoza,Longar,010606,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
72,mi-tienda,MITI-010607,Amazonas,Rodríguez de Mendoza,Mariscal Benavides,010607,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
73,mi-tienda,MITI-010608,Amazonas,Rodríguez de Mendoza,Milpuc,010608,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
74,mi-tienda,MITI-010609,Amazonas,Rodríguez de Mendoza,Omia,010609,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
75,mi-tienda,MITI-010610,Amazonas,Rodríguez de Mendoza,Santa Rosa,010610,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
76,mi-tienda,MITI-010611,Amazonas,Rodríguez de Mendoza,Totora,010611,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
77,mi-tienda,MITI-010612,Amazonas,Rodríguez de Mendoza,Vista Alegre,010612,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
78,mi-tienda,MITI-010701,Amazonas,Utcubamba,Bagua Grande,010701,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
79,mi-tienda,MITI-010702,Amazonas,Utcubamba,Cajaruro,010702,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
80,mi-tienda,MITI-010703,Amazonas,Utcubamba,Cumba,010703,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
81,mi-tienda,MITI-010704,Amazonas,Utcubamba,El Milagro,010704,0,99.99,35.00,65.00,28.00,100,199.99,30.00,60.00,24.00,200,299.99,25.00,55.00,20.00,300,,20.00,50.00,16.00,Envío estándar,Entrega en 2 a 5 días hábiles,Envío express,Entrega en 24 horas,Envío programado,Elige el día de entrega,,
